start_date,mp_physics,ra_lw_physics,ra_sw_physics,sf_surface_physics,bl_pbl_physics,cu_physics,sf_sfclay_physics,fitness,runtime
Sep 29 2011,8,24,2,5,4,5,1,6.0219999999999996e+23,00h 00m 00s
Nov 23 2011,4,5,3,2,12,5,1,974.6464748853772,01h 13m 18s
Jan 03 2011,21,7,2,5,12,14,1,789.7636814481394,04h 39m 23s
Mar 12 2011,8,5,2,5,8,5,1,1028.4458974125534,03h 26m 09s
Mar 31 2011,4,24,3,5,12,5,1,923.0218169807607,03h 23m 40s
Oct 03 2011,4,4,2,4,8,93,1,540.1478793901329,01h 23m 36s
Nov 07 2011,1,5,2,5,12,5,1,853.0796054701118,04h 19m 34s
Feb 07 2011,10,7,99,4,1,6,1,639.4795309812814,01h 16m 52s
Feb 21 2011,1,5,1,1,8,5,1,1019.80555414197,00h 59m 59s
Oct 13 2011,10,7,2,2,12,14,1,804.5650170762065,02h 02m 53s
Dec 05 2011,21,31,99,5,9,10,1,808.2441566113326,03h 51m 41s
Aug 23 2011,11,7,2,4,12,14,1,944.3141045362468,03h 20m 31s
Jul 19 2011,21,4,4,4,12,5,1,963.595122057955,00h 51m 16s
Sep 28 2011,14,99,5,4,8,1,1,849.0255997321715,00h 52m 56s
Feb 19 2011,11,4,3,7,12,14,1,1273.7337198663452,02h 45m 26s
Jan 04 2011,21,7,2,2,12,14,1,597.9877291171099,01h 34m 55s
Aug 29 2011,11,4,3,4,12,14,1,899.0093759475811,02h 35m 01s
Aug 09 2011,4,1,2,5,12,5,1,971.3184484958535,04h 44m 34s
Dec 27 2011,1,4,2,4,8,93,1,713.8667925139657,00h 52m 15s
Jan 27 2011,4,5,2,4,12,5,1,819.9057979008797,01h 41m 27s
Nov 26 2011,4,5,3,5,12,5,1,806.4326760227141,03h 19m 14s
Oct 22 2011,11,4,3,4,12,14,1,476.2019405389767,03h 23m 58s
Mar 03 2011,1,4,2,4,8,93,1,703.4761768793525,01h 00m 37s
Mar 25 2011,21,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 05s
Oct 19 2011,6,7,2,2,12,14,1,1225.7561772741244,02h 22m 43s
Jul 22 2011,4,4,2,2,8,93,1,889.8640194583638,01h 23m 49s
Apr 23 2011,21,7,2,4,12,14,1,1309.87973308884,01h 23m 59s
May 28 2011,21,7,2,1,12,14,1,1116.9346440246045,01h 43m 31s
Apr 17 2011,1,5,1,2,8,5,2,1607.383196261569,01h 00m 49s
Mar 05 2011,1,4,3,4,12,14,1,939.295347276973,02h 14m 33s
Dec 09 2011,11,5,1,1,8,5,2,501.2935644305668,03h 13m 07s
Jan 31 2011,1,4,3,4,8,93,1,484.5187742899628,00h 47m 28s
Nov 28 2011,11,4,2,4,12,14,1,605.8967761108788,03h 33m 52s
Oct 30 2011,11,5,4,4,12,5,1,826.0362079569418,03h 41m 39s
Feb 06 2011,6,4,99,7,9,1,1,6.0219999999999996e+23,06h 00m 06s
Sep 22 2011,21,7,2,2,12,14,1,792.6725385911069,01h 39m 31s
Dec 15 2011,11,4,4,4,12,5,1,700.162128347551,03h 48m 05s
May 09 2011,21,7,2,2,12,14,1,1162.7487420981433,01h 39m 01s
Jun 06 2011,11,4,3,4,12,14,1,844.5277219749463,03h 24m 12s
Mar 30 2011,11,4,4,4,12,5,1,725.38847925338,03h 02m 10s
Feb 11 2011,4,5,3,5,8,5,1,654.8919473894093,03h 12m 47s
May 11 2011,4,4,2,4,12,93,1,1205.3488104396286,01h 09m 14s
May 13 2011,11,4,4,4,12,14,1,961.5457566032321,03h 34m 11s
Nov 05 2011,6,5,99,7,9,1,1,6.0219999999999996e+23,06h 00m 02s
May 19 2011,1,4,2,4,8,93,1,1028.6313039369702,00h 36m 16s
Aug 03 2011,4,5,3,5,8,5,1,861.4849949670787,04h 24m 36s
Oct 05 2011,1,4,2,1,8,93,1,628.6743559199392,01h 00m 11s
May 11 2011,11,5,1,4,8,5,2,1073.1285368369913,03h 01m 21s
Mar 20 2011,1,5,2,1,8,5,2,924.8195750264351,01h 02m 27s
Jul 20 2011,21,7,1,2,12,14,1,982.7600575189238,00h 49m 52s
Oct 21 2011,11,4,4,4,12,14,1,576.2397331452844,03h 39m 48s
Feb 18 2011,11,4,3,4,12,5,1,1131.8474393998904,03h 45m 19s
Apr 19 2011,21,5,2,2,12,14,1,1136.9108341083731,01h 24m 07s
Nov 27 2011,4,7,3,5,12,5,1,1026.6023833947984,04h 08m 38s
Dec 03 2011,1,5,1,4,8,5,2,494.61869637996335,00h 57m 35s
Oct 30 2011,11,4,2,1,12,14,1,929.4706342849038,03h 39m 09s
Oct 07 2011,1,4,2,4,8,93,1,618.1612975225728,00h 32m 39s
Feb 19 2011,1,4,2,4,8,93,1,1221.2994397550185,00h 33m 43s
Mar 08 2011,11,5,3,5,8,5,1,714.4956425765929,04h 27m 32s
Mar 30 2011,4,4,4,4,12,5,1,740.4511060473205,01h 49m 45s
Aug 19 2011,1,4,3,4,8,93,1,781.317395021316,00h 50m 28s
Oct 28 2011,11,4,3,4,12,14,1,597.1237719462222,02h 53m 36s
Aug 20 2011,11,4,2,4,12,14,1,885.8575844528281,05h 31m 45s
Aug 31 2011,11,4,4,4,12,5,1,747.075000288369,03h 46m 18s
Dec 19 2011,21,7,2,4,12,14,1,694.8164176064861,01h 23m 27s
Jan 02 2011,11,4,4,2,12,5,1,710.2100941921614,03h 44m 48s
Jul 30 2011,11,4,1,4,12,14,1,745.6724555129338,03h 24m 01s
Jan 08 2011,11,4,2,4,12,5,1,794.8164242676985,03h 07m 21s
